id,date,desc,details
9345,2016/03/08,"I went grocery shopping with Nora, Nevaeh, Hazel, Avery, Olivia, Piper, Rylee, Lydia, Claire. I bought some clementines, mineral water, and body lotion","I went grocery shopping with Nora, Nevaeh, Hazel, Avery, Olivia, Piper, Rylee, Lydia, Claire. I bought some clementines, mineral water, and body lotion"
9346,2016/03/08,I did HIIT on 2016/03/08.,I did HIIT on 2016/03/08.
9347,2016/03/08,"I talked to Avery, Olivia, Hazel, Lydia for 19 minutes in the early evening.","I talked to Avery, Olivia, Hazel, Lydia for 19 minutes in the early evening."
9348,2016/03/08,"I spent 9 talking to Hazel, Eva on various topics in the early afternoon.","I spent 9 talking to Hazel, Eva on various topics in the early afternoon."
9349,2016/03/08,I spent 51 minutes on news today.,I spent 51 minutes on news today.
9350,2016/03/09,I ate chinese food for lunch.,I ate chinese food for lunch.
9351,2016/03/09,"I spent 6 talking to Claire, Nora, Olivia, Eva on various topics in the early afternoon.","I spent 6 talking to Claire, Nora, Olivia, Eva on various topics in the early afternoon."
9352,2016/03/09,I watched news for 21 minutes on TV today.,I watched news for 21 minutes on TV today.
9353,2016/03/10,I prepare tacos for dinner.,I prepare tacos for dinner.
9354,2016/03/10,"I spent 21 talking to Hazel, Lydia on various topics in the morning.","I spent 21 talking to Hazel, Lydia on various topics in the morning."
9355,2016/03/10,I spent 12 minutes reading social media today.,I spent 12 minutes reading social media today.
9356,2016/03/11,I went on a date with Penelope on 2016/03/11 at a coffee Shop,I went on a date with Penelope on 2016/03/11 at a coffee Shop
9357,2016/03/11,I did swimming on 2016/03/11.,I did swimming on 2016/03/11.
9358,2016/03/11,I ate chinese food for lunch.,I ate chinese food for lunch.
9359,2016/03/11,"I talked to Rylee, Nevaeh, Lydia for 41 minutes during lunch hours.","I talked to Rylee, Nevaeh, Lydia for 41 minutes during lunch hours."
9360,2016/03/11,I spent 26 minutes on news today.,I spent 26 minutes on news today.
9361,2016/03/11,I watched a documentary for 40 minutes on TV today.,I watched a documentary for 40 minutes on TV today.
9362,2016/03/12,"I went grocery shopping. I bought some mangos, cherres, pears, soda, tea, guava juice, coffee, and toothbrush, toothpaste","I went grocery shopping. I bought some mangos, cherres, pears, soda, tea, guava juice, coffee, and toothbrush, toothpaste"
9363,2016/03/12,I did hiking on 2016/03/12.,I did hiking on 2016/03/12.
9364,2016/03/12,I ate indian food for lunch.,I ate indian food for lunch.
9365,2016/03/12,"I spent 50 talking to Layla, Avery, Nevaeh, Hazel on various topics during lunch hours.","I spent 50 talking to Layla, Avery, Nevaeh, Hazel on various topics during lunch hours."
9366,2016/03/12,I spent 47 minutes reading social media today.,I spent 47 minutes reading social media today.
9367,2016/03/12,I watched a documentary for 39 minutes on TV today.,I watched a documentary for 39 minutes on TV today.
9368,2016/03/13,I spent time learning a language on 2016/03/13 with Eva.,I spent time learning a language on 2016/03/13 with Eva.
9369,2016/03/13,"I had a burger for lunch with Layla, Olivia, Nora, Lydia, Piper, Kinsley, Avery, Eva, Piper, Claire, Rylee, Hazel","I had a burger for lunch with Layla, Olivia, Nora, Lydia, Piper, Kinsley, Avery, Eva, Piper, Claire, Rylee, Hazel"
9370,2016/03/13,I had dinner. I ate a burger.,I had dinner. I ate a burger.
9371,2016/03/13,"I talked to Hazel, Lydia, Eva for 49 minutes during lunch hours.","I talked to Hazel, Lydia, Eva for 49 minutes during lunch hours."
9372,2016/03/14,I had breakfast. I ate peanut-butter-jam.,I had breakfast. I ate peanut-butter-jam.
9373,2016/03/14,"I had dinner with Piper, Kinsley, Rylee, Claire, Nora. I ate sushi.","I had dinner with Piper, Kinsley, Rylee, Claire, Nora. I ate sushi."
9374,2016/03/15,"I went grocery shopping with Emily, Andrew. I bought some strawberries, pears, sports drinks, chocolate milk, and toothpaste","I went grocery shopping with Emily, Andrew. I bought some strawberries, pears, sports drinks, chocolate milk, and toothpaste"
9375,2016/03/15,I did swimming on 2016/03/15.,I did swimming on 2016/03/15.
9376,2016/03/15,I had lunch. I ate sushi.,I had lunch. I ate sushi.
9377,2016/03/15,I prepare a burger for dinner.,I prepare a burger for dinner.
9378,2016/03/15,"I talked to Olivia, Eva for 10 minutes in the late afternoon.","I talked to Olivia, Eva for 10 minutes in the late afternoon."
9379,2016/03/15,"I spent 19 talking to Piper, Hazel, Claire, Layla on various topics in the early evening.","I spent 19 talking to Piper, Hazel, Claire, Layla on various topics in the early evening."
9380,2016/03/15,I spent 42 minutes on social media today.,I spent 42 minutes on social media today.
9381,2016/03/16,I did running on 2016/03/16.,I did running on 2016/03/16.
9382,2016/03/17,I prepare peanut-butter-jam for breakfast.,I prepare peanut-butter-jam for breakfast.
9383,2016/03/17,"I talked to Olivia, Eva, Piper for 16 minutes in the early evening.","I talked to Olivia, Eva, Piper for 16 minutes in the early evening."
9384,2016/03/17,I spent 45 minutes watching a tv series on TV today.,I spent 45 minutes watching a tv series on TV today.
9385,2016/03/18,I really enjoyed learning a language on 2016/03/18,I really enjoyed learning a language on 2016/03/18
9386,2016/03/18,"I had lunch with Avery, Benjamin. I ate sandwich.","I had lunch with Avery, Benjamin. I ate sandwich."
9387,2016/03/18,I prepare steak for dinner.,I prepare steak for dinner.
9388,2016/03/18,"I spent 17 talking to Nora, Piper on various topics in the morning.","I spent 17 talking to Nora, Piper on various topics in the morning."
9389,2016/03/18,"I talked to Claire, Avery, Rylee, Hazel for 8 minutes during lunch hours.","I talked to Claire, Avery, Rylee, Hazel for 8 minutes during lunch hours."
9390,2016/03/18,I spent 40 minutes reading a book today.,I spent 40 minutes reading a book today.
9391,2016/03/18,I spent 8 minutes watching a documentary on TV today.,I spent 8 minutes watching a documentary on TV today.
9392,2016/03/19,I prepare sushi for dinner.,I prepare sushi for dinner.
9393,2016/03/19,"I spent 9 talking to Nora, Eva on various topics in the late afternoon.","I spent 9 talking to Nora, Eva on various topics in the late afternoon."
9394,2016/03/19,I spent 34 minutes reading news today.,I spent 34 minutes reading news today.
9395,2016/03/20,"I really enjoyed baking cheater’s mini rhubarb galettes, lemon meringue cookies on 2016/03/20 with Carter, Emily, Kayden at my place","I really enjoyed baking cheater’s mini rhubarb galettes, lemon meringue cookies on 2016/03/20 with Carter, Emily, Kayden at my place"
9396,2016/03/20,I did running on 2016/03/20.,I did running on 2016/03/20.
9397,2016/03/20,"I had breakfast with Avery, Benjamin, Jackson, Willow. I ate cereals.","I had breakfast with Avery, Benjamin, Jackson, Willow. I ate cereals."
9398,2016/03/20,"I had lunch with Nora, Claire, Layla, Kinsley, Piper, Nevaeh, Lydia, Piper, Hazel, Avery, Rylee, Eva, Olivia. I ate chinese food.","I had lunch with Nora, Claire, Layla, Kinsley, Piper, Nevaeh, Lydia, Piper, Hazel, Avery, Rylee, Eva, Olivia. I ate chinese food."
9399,2016/03/20,"I talked to Nora, Hazel, Claire, Avery for 9 minutes in the early evening.","I talked to Nora, Hazel, Claire, Avery for 9 minutes in the early evening."
9400,2016/03/21,I did running on 2016/03/21.,I did running on 2016/03/21.
9401,2016/03/21,I spent 10 minutes on news today.,I spent 10 minutes on news today.
9402,2016/03/21,I watched a movie for 44 minutes on TV today.,I watched a movie for 44 minutes on TV today.
9403,2016/03/22,"On 2016/03/22, I took Natalie on a date to a restaurant","On 2016/03/22, I took Natalie on a date to a restaurant"
9404,2016/03/22,I did hiking on 2016/03/22.,I did hiking on 2016/03/22.
9405,2016/03/22,I had breakfast. I ate pancakes.,I had breakfast. I ate pancakes.
9406,2016/03/22,I talked to Nevaeh for 48 minutes in the early evening.,I talked to Nevaeh for 48 minutes in the early evening.
9407,2016/03/22,I spent 21 minutes reading news today.,I spent 21 minutes reading news today.
9408,2016/03/22,I spent 22 minutes watching a movie on TV today.,I spent 22 minutes watching a movie on TV today.
9409,2016/03/23,"I had dinner with Piper, Piper, Nora, Nevaeh, Rylee, Olivia, Eva, Claire, Layla, Avery, Kinsley. I ate sandwich.","I had dinner with Piper, Piper, Nora, Nevaeh, Rylee, Olivia, Eva, Claire, Layla, Avery, Kinsley. I ate sandwich."
9410,2016/03/23,"I talked to Kinsley, Hazel, Layla, Lydia for 39 minutes in the late afternoon.","I talked to Kinsley, Hazel, Layla, Lydia for 39 minutes in the late afternoon."
9411,2016/03/24,I did swimming on 2016/03/24.,I did swimming on 2016/03/24.
9412,2016/03/24,I prepare fish and chips for lunch.,I prepare fish and chips for lunch.
9413,2016/03/24,"I talked to Claire, Kinsley for 55 minutes during lunch hours.","I talked to Claire, Kinsley for 55 minutes during lunch hours."
9414,2016/03/24,I spent 5 minutes reading social media today.,I spent 5 minutes reading social media today.
9415,2016/03/25,I did running on 2016/03/25.,I did running on 2016/03/25.
9416,2016/03/25,I had lunch. I ate steak.,I had lunch. I ate steak.
9417,2016/03/25,"I spent 18 talking to Kinsley, Lydia, Piper on various topics in the late afternoon.","I spent 18 talking to Kinsley, Lydia, Piper on various topics in the late afternoon."
9418,2016/03/26,I did running on 2016/03/26.,I did running on 2016/03/26.
9419,2016/03/26,I had breakfast with Kayden. I ate cereals.,I had breakfast with Kayden. I ate cereals.
9420,2016/03/26,"I had lunch with Carter, Kayden, Emily, Andrew. I ate pasta.","I had lunch with Carter, Kayden, Emily, Andrew. I ate pasta."
9421,2016/03/26,I spent 20 talking to Claire on various topics during lunch hours.,I spent 20 talking to Claire on various topics during lunch hours.
9422,2016/03/26,I spent 55 minutes reading news today.,I spent 55 minutes reading news today.
9423,2016/03/26,I watched a movie for 16 minutes on TV today.,I watched a movie for 16 minutes on TV today.
9424,2016/03/27,I did biking on 2016/03/27.,I did biking on 2016/03/27.
9425,2016/03/27,"I had pancakes for breakfast with Avery, Benjamin, Willow, Jackson","I had pancakes for breakfast with Avery, Benjamin, Willow, Jackson"
9426,2016/03/27,I had lunch. I ate pasta.,I had lunch. I ate pasta.
9427,2016/03/27,I prepare indian food for dinner.,I prepare indian food for dinner.
9428,2016/03/27,"I spent 8 talking to Kinsley, Olivia, Nevaeh, Piper on various topics in the late afternoon.","I spent 8 talking to Kinsley, Olivia, Nevaeh, Piper on various topics in the late afternoon."
9429,2016/03/27,"I spent 22 talking to Claire, Olivia, Kinsley on various topics in the early afternoon.","I spent 22 talking to Claire, Olivia, Kinsley on various topics in the early afternoon."
9430,2016/03/27,I spent 35 minutes on social media today.,I spent 35 minutes on social media today.
9431,2016/03/28,I prepare pancakes for breakfast.,I prepare pancakes for breakfast.
9432,2016/03/28,"I talked to Claire, Layla for 37 minutes late in the evening.","I talked to Claire, Layla for 37 minutes late in the evening."
9433,2016/03/28,I spent 30 minutes on news today.,I spent 30 minutes on news today.
9434,2016/03/28,I spent 5 minutes watching a movie on TV today.,I spent 5 minutes watching a movie on TV today.
9435,2016/03/29,I did hiking on 2016/03/29.,I did hiking on 2016/03/29.
9436,2016/03/29,I ate cereals for breakfast.,I ate cereals for breakfast.
9437,2016/03/29,"I spent 7 talking to Nevaeh, Eva on various topics in the late afternoon.","I spent 7 talking to Nevaeh, Eva on various topics in the late afternoon."
9438,2016/03/30,"I prepare eggs, sausages, and bread for breakfast.","I prepare eggs, sausages, and bread for breakfast."
9439,2016/03/30,"I spent 55 talking to Eva, Layla, Olivia on various topics in the early afternoon.","I spent 55 talking to Eva, Layla, Olivia on various topics in the early afternoon."
9440,2016/03/30,I spent 22 minutes reading a book today.,I spent 22 minutes reading a book today.
9441,2016/03/30,I watched a documentary for 52 minutes on TV today.,I watched a documentary for 52 minutes on TV today.
9442,2016/03/31,"I entertained Claire, Olivia at my place on 2016/03/31 and cook cheesy ham chowder, chinese broccoli with oyster sauce, shrimp quesadilla","I entertained Claire, Olivia at my place on 2016/03/31 and cook cheesy ham chowder, chinese broccoli with oyster sauce, shrimp quesadilla"
9443,2016/03/31,"On 2016/03/31, I took Rylee on a date to a coffee Shop","On 2016/03/31, I took Rylee on a date to a coffee Shop"
9444,2016/03/31,I did biking on 2016/03/31.,I did biking on 2016/03/31.
9445,2016/03/31,I ate a burger for lunch.,I ate a burger for lunch.
9446,2016/03/31,I ate fish and chips for dinner.,I ate fish and chips for dinner.
9447,2016/03/31,"I talked to Lydia, Nora for 21 minutes in the late afternoon.","I talked to Lydia, Nora for 21 minutes in the late afternoon."
9448,2016/04/01,"I bought some pineapples, guava, bananas, milk, coffee, tea, facial wash online.","I bought some pineapples, guava, bananas, milk, coffee, tea, facial wash online."
9449,2016/04/01,I prepare pancakes for breakfast.,I prepare pancakes for breakfast.
9450,2016/04/01,"I had lunch with Kayden, Andrew, Carter. I ate sandwich.","I had lunch with Kayden, Andrew, Carter. I ate sandwich."
9451,2016/04/01,I ate sandwich for dinner.,I ate sandwich for dinner.
9452,2016/04/01,I spent 28 talking to Eva on various topics in the early evening.,I spent 28 talking to Eva on various topics in the early evening.
9453,2016/04/01,I spent 35 minutes on a book today.,I spent 35 minutes on a book today.
9454,2016/04/01,I spent 35 minutes watching a tv series on TV today.,I spent 35 minutes watching a tv series on TV today.
9455,2016/04/02,I did weight lifting on 2016/04/02.,I did weight lifting on 2016/04/02.
9456,2016/04/02,I had lunch. I ate a burger.,I had lunch. I ate a burger.
9457,2016/04/02,"I had a burger for dinner with Piper, Layla, Hazel, Rylee, Lydia, Claire, Olivia, Eva, Kinsley, Nora, Avery, Nevaeh","I had a burger for dinner with Piper, Layla, Hazel, Rylee, Lydia, Claire, Olivia, Eva, Kinsley, Nora, Avery, Nevaeh"
9458,2016/04/02,I talked to Claire for 15 minutes in the early evening.,I talked to Claire for 15 minutes in the early evening.
9459,2016/04/02,I spent 45 minutes reading a book today.,I spent 45 minutes reading a book today.
9460,2016/04/02,I watched news for 37 minutes on TV today.,I watched news for 37 minutes on TV today.
9461,2016/04/03,I did biking on 2016/04/03.,I did biking on 2016/04/03.
9462,2016/04/03,"I had dinner with Nevaeh, Eva. I ate chinese food.","I had dinner with Nevaeh, Eva. I ate chinese food."
9463,2016/04/03,"I talked to Piper, Nora, Hazel for 46 minutes in the late afternoon.","I talked to Piper, Nora, Hazel for 46 minutes in the late afternoon."
9464,2016/04/03,I spent 48 minutes reading social media today.,I spent 48 minutes reading social media today.
9465,2016/04/04,I did biking on 2016/04/04.,I did biking on 2016/04/04.
9466,2016/04/04,"I had breakfast with Kinsley, Rylee, Hazel, Nora, Nevaeh. I ate cereals.","I had breakfast with Kinsley, Rylee, Hazel, Nora, Nevaeh. I ate cereals."
9467,2016/04/04,I had lunch with Carter. I ate indian food.,I had lunch with Carter. I ate indian food.
9468,2016/04/04,I prepare steak for dinner.,I prepare steak for dinner.
9469,2016/04/04,I spent 19 minutes watching a documentary on TV today.,I spent 19 minutes watching a documentary on TV today.
9470,2016/04/05,I spent some time yoga on 2016/04/05.,I spent some time yoga on 2016/04/05.
9471,2016/04/05,I did biking on 2016/04/05.,I did biking on 2016/04/05.
9472,2016/04/05,I prepare fish and chips for lunch.,I prepare fish and chips for lunch.
9473,2016/04/05,"I spent 22 talking to Claire, Piper, Hazel on various topics in the early afternoon.","I spent 22 talking to Claire, Piper, Hazel on various topics in the early afternoon."
9474,2016/04/05,"I talked to Piper, Rylee, Nora, Layla for 27 minutes in the late afternoon.","I talked to Piper, Rylee, Nora, Layla for 27 minutes in the late afternoon."
9475,2016/04/06,I had breakfast. I ate oatmeal.,I had breakfast. I ate oatmeal.
9476,2016/04/06,I had lunch. I ate fish and chips.,I had lunch. I ate fish and chips.
9477,2016/04/06,I had indian food for dinner with Emily,I had indian food for dinner with Emily
9478,2016/04/06,"I spent 11 talking to Rylee, Eva on various topics during lunch hours.","I spent 11 talking to Rylee, Eva on various topics during lunch hours."
9479,2016/04/07,I ate steak for dinner.,I ate steak for dinner.
9480,2016/04/07,"I talked to Eva, Lydia for 11 minutes in the morning.","I talked to Eva, Lydia for 11 minutes in the morning."
9481,2016/04/08,"I had lunch with Hazel, Lydia, Piper, Nevaeh, Layla, Eva, Avery, Claire, Nora, Kinsley, Olivia, Rylee, Piper. I ate pasta.","I had lunch with Hazel, Lydia, Piper, Nevaeh, Layla, Eva, Avery, Claire, Nora, Kinsley, Olivia, Rylee, Piper. I ate pasta."
9482,2016/04/08,"I had dinner with Emily, Andrew. I ate indian food.","I had dinner with Emily, Andrew. I ate indian food."
9483,2016/04/08,I spent 37 minutes on a book today.,I spent 37 minutes on a book today.
9484,2016/04/09,I did HIIT on 2016/04/09.,I did HIIT on 2016/04/09.
9485,2016/04/09,I ate toast and cheese for breakfast.,I ate toast and cheese for breakfast.
9486,2016/04/09,I prepare chinese food for lunch.,I prepare chinese food for lunch.
9487,2016/04/09,I had dinner. I ate steak.,I had dinner. I ate steak.
9488,2016/04/09,"I spent 48 talking to Kinsley, Lydia on various topics during lunch hours.","I spent 48 talking to Kinsley, Lydia on various topics during lunch hours."
9489,2016/04/09,"I spent 17 talking to Piper, Kinsley, Hazel, Avery on various topics in the morning.","I spent 17 talking to Piper, Kinsley, Hazel, Avery on various topics in the morning."
9490,2016/04/10,"I had dinner with Emily, Kayden, Andrew, Carter. I ate chinese food.","I had dinner with Emily, Kayden, Andrew, Carter. I ate chinese food."
9491,2016/04/10,I watched a documentary for 25 minutes on TV today.,I watched a documentary for 25 minutes on TV today.
9492,2016/04/11,I spent some time gardening on 2016/04/11.,I spent some time gardening on 2016/04/11.
9493,2016/04/11,I did HIIT on 2016/04/11.,I did HIIT on 2016/04/11.
9494,2016/04/11,I ate cereals for breakfast.,I ate cereals for breakfast.
9495,2016/04/11,I ate sandwich for lunch.,I ate sandwich for lunch.
9496,2016/04/11,I ate chinese food for dinner.,I ate chinese food for dinner.
9497,2016/04/11,I spent 32 minutes watching news on TV today.,I spent 32 minutes watching news on TV today.
9498,2016/04/12,"On 2016/04/12 Benjamin, Jackson, Willow and I went to Rio, Brazil together for 8 days ","On 2016/04/12 Benjamin, Jackson, Willow and I went to Rio, Brazil together for 8 days "
9499,2016/04/12,I prepare indian food for dinner.,I prepare indian food for dinner.
9500,2016/04/12,"I talked to Avery, Olivia for 18 minutes in the morning.","I talked to Avery, Olivia for 18 minutes in the morning."
9501,2016/04/13,"During my trip to Rio, Brazil, I visited Copacabana on 2016/04 with Benjamin, Jackson, Willow.","During my trip to Rio, Brazil, I visited Copacabana on 2016/04 with Benjamin, Jackson, Willow."
9502,2016/04/13,"I ate Japanese food at Bolinho de bacalhau with Benjamin, Jackson, Willow on  2016/04/13 when I was in Rio, Brazil.","I ate Japanese food at Bolinho de bacalhau with Benjamin, Jackson, Willow on  2016/04/13 when I was in Rio, Brazil."
9503,2016/04/13,"I went grocery shopping with Emily. I bought some raspberries, coffee, tea, apple juice, and conditioner, toothbrush","I went grocery shopping with Emily. I bought some raspberries, coffee, tea, apple juice, and conditioner, toothbrush"
9504,2016/04/13,I had lunch. I ate chinese food.,I had lunch. I ate chinese food.
9505,2016/04/13,I had dinner. I ate chinese food.,I had dinner. I ate chinese food.
9506,2016/04/13,"I talked to Lydia, Claire, Kinsley for 8 minutes in the early afternoon.","I talked to Lydia, Claire, Kinsley for 8 minutes in the early afternoon."
9507,2016/04/13,I spent 15 minutes on a book today.,I spent 15 minutes on a book today.
9508,2016/04/13,I watched a tv series for 19 minutes on TV today.,I watched a tv series for 19 minutes on TV today.
9509,2016/04/14,"During my trip to Rio, Brazil, I visited Cristo Redentor on 2016/04 with Benjamin, Jackson, Willow.","During my trip to Rio, Brazil, I visited Cristo Redentor on 2016/04 with Benjamin, Jackson, Willow."
9510,2016/04/14,"I ate Italian food at Tapioca with Benjamin, Jackson, Willow on  2016/04/14 when I was in Rio, Brazil.","I ate Italian food at Tapioca with Benjamin, Jackson, Willow on  2016/04/14 when I was in Rio, Brazil."
9511,2016/04/14,I ate pasta for lunch.,I ate pasta for lunch.
9512,2016/04/14,I ate sandwich for dinner.,I ate sandwich for dinner.
9513,2016/04/14,"I talked to Nevaeh, Hazel for 12 minutes in the early afternoon.","I talked to Nevaeh, Hazel for 12 minutes in the early afternoon."
9514,2016/04/15,"During my trip to Rio, Brazil, I visited Sugarloaf on 2016/04 with Benjamin, Jackson, Willow.","During my trip to Rio, Brazil, I visited Sugarloaf on 2016/04 with Benjamin, Jackson, Willow."
9515,2016/04/15,"I ate Japanese food at Bolinho de bacalhau with Benjamin, Jackson, Willow on  2016/04/15 when I was in Rio, Brazil.","I ate Japanese food at Bolinho de bacalhau with Benjamin, Jackson, Willow on  2016/04/15 when I was in Rio, Brazil."
9516,2016/04/15,I had breakfast. I ate peanut-butter-jam.,I had breakfast. I ate peanut-butter-jam.
9517,2016/04/15,I spent 24 minutes watching a movie on TV today.,I spent 24 minutes watching a movie on TV today.
9518,2016/04/16,"During my trip to Rio, Brazil, I visited Ipanema on 2016/04 with Benjamin, Jackson, Willow.","During my trip to Rio, Brazil, I visited Ipanema on 2016/04 with Benjamin, Jackson, Willow."
9519,2016/04/16,"I ate Japanese food at Bolinho de bacalhau with Benjamin, Jackson, Willow on  2016/04/16 when I was in Rio, Brazil.","I ate Japanese food at Bolinho de bacalhau with Benjamin, Jackson, Willow on  2016/04/16 when I was in Rio, Brazil."
9520,2016/04/16,I had indian food for lunch with Kayden,I had indian food for lunch with Kayden
9521,2016/04/16,"I talked to Nora, Rylee, Claire, Olivia for 22 minutes in the early afternoon.","I talked to Nora, Rylee, Claire, Olivia for 22 minutes in the early afternoon."
9522,2016/04/17,"During my trip to Rio, Brazil, I visited Carnaval on 2016/04 with Benjamin, Jackson, Willow.","During my trip to Rio, Brazil, I visited Carnaval on 2016/04 with Benjamin, Jackson, Willow."
9523,2016/04/17,"I ate Japanese food at Tapioca with Benjamin, Jackson, Willow on  2016/04/17 when I was in Rio, Brazil.","I ate Japanese food at Tapioca with Benjamin, Jackson, Willow on  2016/04/17 when I was in Rio, Brazil."
9524,2016/04/17,"I bought some cherres, apricots, guava juice, orange juice, coffee, toothpaste online.","I bought some cherres, apricots, guava juice, orange juice, coffee, toothpaste online."
9525,2016/04/17,I had dinner. I ate tacos.,I had dinner. I ate tacos.
9526,2016/04/18,"I ate Italian food at Pão de queijo with Benjamin, Jackson, Willow on  2016/04/18 when I was in Rio, Brazil.","I ate Italian food at Pão de queijo with Benjamin, Jackson, Willow on  2016/04/18 when I was in Rio, Brazil."
9527,2016/04/18,I had breakfast. I ate pancakes.,I had breakfast. I ate pancakes.
9528,2016/04/18,I ate steak for lunch.,I ate steak for lunch.
9529,2016/04/18,"I talked to Eva, Kinsley for 22 minutes late in the evening.","I talked to Eva, Kinsley for 22 minutes late in the evening."
9530,2016/04/18,I spent 19 minutes on social media today.,I spent 19 minutes on social media today.
9531,2016/04/18,I spent 22 minutes watching news on TV today.,I spent 22 minutes watching news on TV today.
9532,2016/04/19,"I ate Chinese food at Bolinho de bacalhau with Benjamin, Jackson, Willow on  2016/04/19 when I was in Rio, Brazil.","I ate Chinese food at Bolinho de bacalhau with Benjamin, Jackson, Willow on  2016/04/19 when I was in Rio, Brazil."
9533,2016/04/19,I ate fish and chips for dinner.,I ate fish and chips for dinner.
9534,2016/04/19,I talked to Kinsley for 51 minutes during lunch hours.,I talked to Kinsley for 51 minutes during lunch hours.
9535,2016/04/19,"I spent 30 talking to Layla, Avery, Piper on various topics in the early evening.","I spent 30 talking to Layla, Avery, Piper on various topics in the early evening."
9536,2016/04/19,I spent 27 minutes reading social media today.,I spent 27 minutes reading social media today.
9537,2016/04/19,I watched a documentary for 27 minutes on TV today.,I watched a documentary for 27 minutes on TV today.
9538,2016/04/20,"I ate Indian food at Pão de queijo with Benjamin, Jackson, Willow on  2016/04/20 when I was in Rio, Brazil.","I ate Indian food at Pão de queijo with Benjamin, Jackson, Willow on  2016/04/20 when I was in Rio, Brazil."
9539,2016/04/20,"I had cereals for breakfast with Kayden, Carter, Andrew","I had cereals for breakfast with Kayden, Carter, Andrew"
9540,2016/04/20,"I spent 7 talking to Claire, Nevaeh on various topics in the morning.","I spent 7 talking to Claire, Nevaeh on various topics in the morning."
9541,2016/04/21,I ate cereals for breakfast.,I ate cereals for breakfast.
9542,2016/04/21,I ate pasta for lunch.,I ate pasta for lunch.
9543,2016/04/21,"I talked to Nora, Rylee for 8 minutes during lunch hours.","I talked to Nora, Rylee for 8 minutes during lunch hours."
9544,2016/04/21,I spent 19 minutes watching a documentary on TV today.,I spent 19 minutes watching a documentary on TV today.
9545,2016/04/22,I had lunch. I ate indian food.,I had lunch. I ate indian food.
9546,2016/04/22,"I had indian food for dinner with Kinsley, Lydia, Piper, Nevaeh, Hazel, Rylee, Layla, Avery, Nora, Olivia, Piper, Claire, Eva","I had indian food for dinner with Kinsley, Lydia, Piper, Nevaeh, Hazel, Rylee, Layla, Avery, Nora, Olivia, Piper, Claire, Eva"
9547,2016/04/22,I spent 35 minutes on a book today.,I spent 35 minutes on a book today.
9548,2016/04/22,I spent 41 minutes watching a documentary on TV today.,I spent 41 minutes watching a documentary on TV today.
9549,2016/04/23,I did swimming on 2016/04/23.,I did swimming on 2016/04/23.
9550,2016/04/23,I ate pancakes for breakfast.,I ate pancakes for breakfast.
9551,2016/04/23,I ate chinese food for lunch.,I ate chinese food for lunch.
9552,2016/04/23,I prepare chinese food for dinner.,I prepare chinese food for dinner.
9553,2016/04/23,I spent 16 talking to Layla on various topics in the early evening.,I spent 16 talking to Layla on various topics in the early evening.
9554,2016/04/23,"I spent 8 talking to Nevaeh, Piper on various topics late in the evening.","I spent 8 talking to Nevaeh, Piper on various topics late in the evening."
9555,2016/04/23,I watched news for 11 minutes on TV today.,I watched news for 11 minutes on TV today.
9556,2016/04/24,I did swimming on 2016/04/24.,I did swimming on 2016/04/24.
9557,2016/04/24,I prepare pancakes for breakfast.,I prepare pancakes for breakfast.
9558,2016/04/24,I talked to Piper for 43 minutes in the morning.,I talked to Piper for 43 minutes in the morning.
9559,2016/04/24,I spent 17 minutes watching a movie on TV today.,I spent 17 minutes watching a movie on TV today.
9560,2016/04/25,"I had toast and cheese for breakfast with Carter, Andrew, Emily, Kayden","I had toast and cheese for breakfast with Carter, Andrew, Emily, Kayden"
9561,2016/04/25,I talked to Piper for 41 minutes in the early evening.,I talked to Piper for 41 minutes in the early evening.
9562,2016/04/25,I spent 12 minutes watching news on TV today.,I spent 12 minutes watching news on TV today.
9563,2016/04/26,I took my parents for their for an annual physical checkup on 2016/04/26 at the private clinic.,I took my parents for their for an annual physical checkup on 2016/04/26 at the private clinic.
9564,2016/04/26,"I was baking brown sugar-pear puff pastries on 2016/04/26 with Emily, Kayden, Carter, Andrew at my place","I was baking brown sugar-pear puff pastries on 2016/04/26 with Emily, Kayden, Carter, Andrew at my place"
9565,2016/04/26,I did weight lifting on 2016/04/26.,I did weight lifting on 2016/04/26.
9566,2016/04/26,"I had dinner with Jackson, Benjamin. I ate sushi.","I had dinner with Jackson, Benjamin. I ate sushi."
9567,2016/04/26,"I spent 11 talking to Claire, Layla, Eva, Hazel on various topics in the morning.","I spent 11 talking to Claire, Layla, Eva, Hazel on various topics in the morning."
9568,2016/04/26,I spent 23 minutes watching a documentary on TV today.,I spent 23 minutes watching a documentary on TV today.
9569,2016/04/27,I did weight lifting on 2016/04/27.,I did weight lifting on 2016/04/27.
9570,2016/04/27,"I had breakfast with Andrew, Emily. I ate cereals.","I had breakfast with Andrew, Emily. I ate cereals."
9571,2016/04/27,I ate sushi for lunch.,I ate sushi for lunch.
9572,2016/04/27,I spent 9 talking to Eva on various topics in the early evening.,I spent 9 talking to Eva on various topics in the early evening.
9573,2016/04/27,"I talked to Rylee, Piper, Claire for 9 minutes late in the evening.","I talked to Rylee, Piper, Claire for 9 minutes late in the evening."
9574,2016/04/27,I spent 29 minutes reading a book today.,I spent 29 minutes reading a book today.
9575,2016/04/27,I spent 14 minutes watching a movie on TV today.,I spent 14 minutes watching a movie on TV today.
9576,2016/04/28,I did hiking on 2016/04/28.,I did hiking on 2016/04/28.
