eid,date,fruits,drinks,toiletries,people_string
e17024,2015/09/02,strawberries,"mineral water, apple juice, sports drinks","paper towel, shaving cream","Andrew, Emily, Carter, Kayden"
e17027,2015/09/05,"blackberries, blueberries, oranges","guava juice, sports drinks",toothbrush,
e17031,2015/09/12,"blueberries, raspberries","soda, apple juice, sports drinks, guava juice","conditioner, mouthwash",
e17032,2015/09/14,pineapples,orange juice,"paper towel, shampoo",
e17037,2015/09/18,"pineapples, nectarines, apricots, blackberries",apple juice,"shaving cream, mouthwash, toothbrush","Carter, Andrew"
e17040,2015/09/24,"watermelons, oranges, raspberries","tea, mango juice, coffee",shaving cream,"Piper, Olivia"
e17041,2015/09/28,clementines,"chocolate milk, guava juice, mango juice","shaving cream, shampoo",
e17044,2015/10/05,"oranges, strawberries",coffee,"mouthwash, facial wash, toilet paper, shaving cream","Layla, Claire, Nevaeh, Lydia, Olivia"
e17048,2015/10/09,"peaches, blackberries","chocolate milk, orange juice, sports drinks, guava juice","toilet paper, toothpaste",Emily
e17049,2015/10/12,"guava, peaches","tea, coffee","toothbrush, mouthwash, conditioner, paper towel","Kayden, Andrew"
e17051,2015/10/17,"watermelons, strawberries","guava juice, pineapple juice","mouth wash, toilet paper",
e17052,2015/10/21,"apples, mandarins, strawberries","coffee, orange juice, mineral water",toilet paper,
e17055,2015/10/23,mandarins,"chocolate milk, apple juice, sports drinks",mouthwash,"Kayden, Carter, Emily"
e17056,2015/10/27,blackberries,orange juice,"paper towel, toothpaste, mouth wash","Willow, Jackson, Benjamin"
e17060,2015/10/31,"bananas, guava, strawberries, apples","chocolate milk, soda, guava juice","mouth wash, mouthwash",
e17061,2015/11/02,"watermelons, strawberries, mandarins, apricots","mango juice, mineral water, guava juice, soda","toothbrush, toothpaste, shampoo, facial wash","Willow, Jackson, Benjamin"
e17063,2015/11/06,"raspberries, mangos, watermelons",sports drinks,"toothpaste, toothbrush, mouth wash, toilet paper","Nevaeh, Piper, Eva, Nora, Rylee, Claire, Hazel, Layla, Lydia, Kinsley, Piper, Olivia"
e17064,2015/11/10,apricots,"pineapple juice, sports drinks, milk, guava juice","shaving cream, toothpaste, body lotion, shampoo",
e17066,2015/11/13,"apricots, strawberries",soda,"shaving cream, body lotion",Emily
e17067,2015/11/17,"bananas, mangos","soda, chocolate milk",toothpaste,"Andrew, Carter"
e17069,2015/11/20,"mandarins, blackberries, raspberries, blueberries","soda, guava juice, mango juice","toothpaste, body lotion, mouthwash, conditioner",
e17070,2015/11/25,"strawberries, nectarines, peaches, raspberries",coffee,"shaving cream, mouthwash, body lotion",
e17072,2015/11/26,apples,"milk, mango juice","facial wash, toothpaste","Nora, Hazel, Piper, Claire, Rylee, Layla, Avery, Kinsley, Lydia, Eva, Olivia"
e17074,2015/12/05,"bananas, oranges, peaches, blueberries","soda, sports drinks, tea, chocolate milk","shaving cream, toothpaste",
e17075,2015/12/09,"pears, mandarins",mineral water,"mouthwash, facial wash, body lotion, toothpaste","Kayden, Emily, Andrew"
e17079,2015/12/12,"clementines, apricots, cherres",pineapple juice,mouth wash,
e17080,2015/12/15,"oranges, mangos, raspberries, nectarines","tea, pineapple juice, mineral water, milk","body lotion, toothpaste, mouth wash, toothbrush",
e17083,2015/12/18,"peaches, blackberries, oranges, apricots","pineapple juice, tea","body lotion, conditioner, shampoo","Kayden, Emily, Carter, Andrew"
e17084,2015/12/21,"clementines, strawberries","apple juice, pineapple juice, orange juice, guava juice","body lotion, conditioner, facial wash, mouth wash",
e17085,2015/12/29,pears,"guava juice, tea","paper towel, toothbrush","Nora, Hazel, Olivia, Claire, Nevaeh, Piper, Eva, Kinsley, Rylee, Lydia, Layla"
e20260,2016/01/01,"nectarines, mangos, clementines, apples","apple juice, coffee",mouthwash,"Rylee, Olivia, Claire, Nora, Hazel, Piper, Eva, Nevaeh, Kinsley, Lydia, Layla, Avery, Piper"
e20261,2016/01/07,raspberries,"apple juice, mango juice, chocolate milk, mineral water","mouth wash, body lotion, toothbrush",
e20263,2016/01/13,"mandarins, watermelons","soda, mango juice",conditioner,
e20266,2016/01/20,"guava, mangos, nectarines","guava juice, chocolate milk","paper towel, facial wash, toothbrush",
e20269,2016/01/23,"pears, oranges, guava, blueberries",apple juice,"mouth wash, body lotion",
e20270,2016/01/28,clementines,"guava juice, tea, coffee","conditioner, mouth wash, mouthwash",
e20272,2016/02/02,"peaches, guava, pears",tea,"body lotion, conditioner","Kayden, Carter"
e20278,2016/02/17,"raspberries, nectarines","soda, mango juice, sports drinks","shaving cream, shampoo, conditioner, toilet paper",
e20282,2016/02/20,"cherres, blackberries","tea, mineral water, apple juice, sports drinks","paper towel, conditioner, body lotion, toothbrush",
e20283,2016/02/25,"pears, cherres",milk,body lotion,
e20285,2016/02/28,"clementines, raspberries, pears","mango juice, coffee, apple juice","facial wash, paper towel",
e20286,2016/03/03,"pineapples, watermelons",chocolate milk,"toilet paper, shaving cream, shampoo, toothpaste",
e20289,2016/03/06,"strawberries, mangos, peaches","milk, pineapple juice","toothbrush, toilet paper, shampoo",
e20290,2016/03/10,"mandarins, pineapples, blackberries","apple juice, orange juice, mineral water, pineapple juice","mouthwash, mouth wash",
e20293,2016/03/13,"raspberries, mangos","mango juice, mineral water",conditioner,
e20294,2016/03/15,"bananas, apples","soda, guava juice, pineapple juice",conditioner,"Eva, Rylee, Nora, Kinsley"
e20296,2016/03/24,"strawberries, cherres","tea, soda, coffee",body lotion,"Nora, Nevaeh, Eva, Piper, Olivia, Lydia, Claire, Piper, Avery, Kinsley, Rylee, Layla, Hazel"
e20299,2016/03/28,cherres,"orange juice, soda, guava juice, chocolate milk","facial wash, mouth wash",
e20302,2016/04/03,apples,"mineral water, mango juice, soda","paper towel, shampoo, mouth wash, conditioner",
e20303,2016/04/04,"nectarines, watermelons, raspberries, mangos",apple juice,"toothbrush, shaving cream, mouthwash",Willow
e20307,2016/04/12,"peaches, raspberries, guava","coffee, orange juice, mango juice, guava juice","mouth wash, toothbrush, conditioner","Kayden, Andrew, Emily, Carter"
e20311,2016/04/15,"clementines, watermelons",tea,"shampoo, toothbrush, toilet paper","Hazel, Nevaeh, Piper, Rylee, Claire, Avery, Piper"
e20312,2016/04/18,"blackberries, nectarines, oranges","chocolate milk, mango juice","shaving cream, toothpaste",
e20315,2016/04/27,"blackberries, pineapples, raspberries, watermelons","apple juice, chocolate milk, orange juice","shampoo, mouth wash",
e20316,2016/05/01,"mandarins, pears, apples","mango juice, chocolate milk, guava juice","conditioner, facial wash, mouth wash","Andrew, Emily, Carter"
e20317,2016/05/04,"strawberries, blackberries, mangos",mango juice,"paper towel, shaving cream, facial wash, conditioner",
e20320,2016/05/08,"clementines, cherres, pears, peaches","soda, orange juice",body lotion,
e20321,2016/05/09,"raspberries, pineapples, watermelons, strawberries","guava juice, tea","conditioner, mouth wash, body lotion","Kayden, Andrew, Carter"
e20323,2016/05/18,raspberries,"guava juice, sports drinks",toothpaste,"Avery, Jackson"
e20325,2016/05/21,"pineapples, clementines","mango juice, pineapple juice","body lotion, mouthwash, shampoo, facial wash","Andrew, Kayden, Emily"
e20326,2016/05/24,clementines,"soda, tea",toothbrush,
e20329,2016/06/01,"mangos, blackberries, bananas","chocolate milk, apple juice",facial wash,
e20332,2016/06/04,"mandarins, clementines","orange juice, chocolate milk, guava juice, sports drinks","facial wash, toothbrush",
e20333,2016/06/09,"clementines, apples","orange juice, milk, chocolate milk","facial wash, mouth wash, toothpaste",Emily
e20334,2016/06/10,"pineapples, blackberries, strawberries, guava","pineapple juice, tea, mango juice","toothbrush, toilet paper",Piper
e20335,2016/06/15,"mangos, mandarins, apricots, pineapples","soda, apple juice, tea, mango juice","toothpaste, toothbrush",
e20339,2016/06/23,"cherres, apples","chocolate milk, guava juice, soda, pineapple juice",shampoo,
e20340,2016/06/29,"pears, mandarins","mineral water, sports drinks","shampoo, mouthwash","Willow, Jackson"
e20342,2016/07/01,mangos,"apple juice, sports drinks, orange juice, coffee","shaving cream, facial wash, mouth wash, body lotion",
e20343,2016/07/07,"pineapples, apricots, strawberries, nectarines","apple juice, pineapple juice, soda, coffee","shampoo, shaving cream, body lotion, conditioner","Emily, Andrew"
e20347,2016/07/09,"cherres, pineapples",mineral water,"paper towel, facial wash, toothbrush",
e20348,2016/07/13,"bananas, peaches",coffee,"toothbrush, shaving cream, facial wash, mouth wash",
e20352,2016/07/15,"raspberries, strawberries","mineral water, chocolate milk","toothbrush, shaving cream, paper towel, toothpaste","Avery, Willow, Jackson"
e20353,2016/07/18,"nectarines, apples",soda,paper towel,"Andrew, Kayden, Emily, Carter"
e20357,2016/07/25,"nectarines, peaches, guava, apples",soda,paper towel,"Emily, Carter, Andrew"
e20359,2016/07/30,oranges,"sports drinks, pineapple juice","toothpaste, toilet paper, paper towel, conditioner","Hazel, Nora, Olivia, Claire, Layla, Lydia, Kinsley, Eva, Rylee, Piper"
e20360,2016/08/01,"clementines, strawberries, apples, guava","soda, milk, apple juice","mouth wash, shampoo","Willow, Avery, Jackson"
e20363,2016/08/07,"guava, peaches","mango juice, soda, orange juice, milk","conditioner, shaving cream",
e20364,2016/08/08,"strawberries, blackberries, guava, cherres","apple juice, sports drinks","toothpaste, toothbrush, shampoo, facial wash","Carter, Andrew, Emily, Kayden"
e20367,2016/08/13,"oranges, mangos",mango juice,"toilet paper, toothbrush, conditioner, body lotion",
e20368,2016/08/17,"mangos, pineapples","pineapple juice, soda, tea, apple juice","toothbrush, shaving cream","Carter, Emily, Andrew, Kayden"
e20370,2016/08/25,"oranges, strawberries",sports drinks,"mouth wash, shampoo, shaving cream",
e20373,2016/08/29,"watermelons, clementines","guava juice, milk","conditioner, body lotion, mouthwash","Emily, Andrew, Kayden, Carter"
e20374,2016/09/03,"peaches, bananas, oranges","tea, coffee, chocolate milk","body lotion, toothbrush, paper towel, toilet paper",
e20375,2016/09/07,"mangos, pineapples","chocolate milk, mango juice, soda","body lotion, conditioner",
e20378,2016/09/09,"cherres, watermelons, raspberries, mandarins","chocolate milk, tea, milk, orange juice","toilet paper, shaving cream, body lotion","Layla, Rylee, Hazel, Lydia, Eva, Nora"
e20379,2016/09/14,"bananas, nectarines","milk, guava juice","mouthwash, body lotion",
e20381,2016/09/21,"cherres, pears, bananas","milk, soda, mineral water, chocolate milk","mouth wash, body lotion, mouthwash",
e20385,2016/09/25,"strawberries, peaches","mineral water, guava juice, chocolate milk, mango juice","mouth wash, mouthwash, conditioner",
e20386,2016/09/26,"nectarines, peaches",tea,toothpaste,
e20388,2016/10/02,"apples, bananas, apricots",orange juice,"toothbrush, conditioner, paper towel","Olivia, Lydia, Kinsley, Piper, Rylee, Piper, Nora, Claire, Hazel"
e20389,2016/10/05,"clementines, pineapples, pears","pineapple juice, mango juice, tea","shaving cream, toothbrush, facial wash, conditioner",
e20392,2016/10/09,"cherres, raspberries, watermelons","milk, guava juice, chocolate milk","facial wash, toothpaste",
e20393,2016/10/11,"clementines, nectarines, blackberries","apple juice, coffee","mouth wash, mouthwash",
e20396,2016/10/15,"clementines, strawberries","chocolate milk, soda, sports drinks",shampoo,
e20397,2016/10/19,"guava, pears, raspberries","soda, guava juice, tea, chocolate milk","shaving cream, mouthwash, toilet paper",
e20399,2016/10/26,mangos,"sports drinks, coffee, mineral water, tea","toilet paper, facial wash, toothbrush, toothpaste",
e20402,2016/11/02,"bananas, nectarines, peaches, guava","chocolate milk, milk, coffee, mineral water","facial wash, paper towel, mouth wash, toothpaste",Willow
e20406,2016/11/06,"bananas, peaches","milk, soda, guava juice, pineapple juice","toothpaste, body lotion",Carter
e20407,2016/11/07,strawberries,"mineral water, coffee, apple juice","facial wash, shampoo","Emily, Carter"
e20411,2016/11/13,"pineapples, peaches, cherres",guava juice,"body lotion, toilet paper",Andrew
e20412,2016/11/15,"pears, bananas","pineapple juice, coffee",toothbrush,
e20414,2016/11/23,"pears, apricots, clementines, apples",soda,"toilet paper, toothpaste, facial wash",
e20419,2016/11/30,"cherres, guava","mango juice, orange juice",body lotion,Jackson
e20421,2016/12/02,"pineapples, apricots, blueberries, guava",mineral water,"facial wash, toilet paper","Kinsley, Eva, Hazel, Nora, Nevaeh"
e20422,2016/12/06,pears,pineapple juice,toothbrush,"Emily, Carter"
e20424,2016/12/09,clementines,"coffee, mineral water, guava juice","toilet paper, shaving cream, toothbrush, facial wash","Avery, Willow, Benjamin, Jackson"
e20425,2016/12/13,"mandarins, nectarines","orange juice, tea, pineapple juice","facial wash, shampoo, toilet paper, toothbrush","Olivia, Lydia, Rylee, Nevaeh, Avery, Piper, Kinsley"
e20427,2016/12/21,blueberries,"guava juice, chocolate milk","shampoo, body lotion, facial wash",
e23629,2017/01/01,peaches,coffee,paper towel,
e23630,2017/01/06,"nectarines, mandarins, bananas, guava","orange juice, coffee, apple juice, pineapple juice",paper towel,"Carter, Andrew, Emily"
e23632,2017/01/09,"oranges, strawberries, peaches, apricots","apple juice, tea","facial wash, conditioner, mouth wash, paper towel",
e23633,2017/01/12,"watermelons, raspberries",mango juice,mouthwash,"Jackson, Willow, Benjamin"
e23635,2017/01/16,"pineapples, guava, cherres","apple juice, sports drinks, pineapple juice","toilet paper, body lotion",
e23636,2017/01/20,"mangos, nectarines, apples","mineral water, mango juice","shampoo, toothbrush, mouth wash, conditioner",
e23638,2017/01/24,"blueberries, pineapples, cherres",orange juice,shaving cream,"Jackson, Avery, Benjamin"
e23639,2017/01/25,"apples, mandarins, oranges","guava juice, tea, mango juice, soda",conditioner,"Benjamin, Jackson"
e23641,2017/02/02,"cherres, blueberries, bananas","pineapple juice, guava juice, mineral water","body lotion, toilet paper, paper towel, conditioner",
e23645,2017/02/11,"mangos, strawberries, oranges, mandarins",tea,mouth wash,"Claire, Lydia, Avery, Hazel, Piper, Layla, Rylee, Piper, Eva, Kinsley"
e23648,2017/02/13,"clementines, oranges, watermelons","orange juice, soda, tea, coffee","facial wash, shampoo, toothbrush",
e23649,2017/02/18,"watermelons, blackberries, apricots","soda, chocolate milk",toothbrush,"Carter, Emily, Kayden"
e23653,2017/02/25,"peaches, nectarines, apples","orange juice, chocolate milk, apple juice",shampoo,
e23655,2017/02/26,strawberries,"soda, mineral water, chocolate milk","mouth wash, paper towel, toilet paper","Lydia, Claire, Piper, Nevaeh, Olivia, Eva, Rylee, Kinsley, Nora, Avery, Hazel"
e23656,2017/03/02,"apples, oranges, apricots","soda, chocolate milk","shampoo, paper towel, body lotion, shaving cream","Nevaeh, Hazel, Piper, Avery, Piper, Lydia, Layla, Claire, Nora, Olivia, Eva"
e23658,2017/03/10,"oranges, raspberries, mangos, blackberries","mineral water, orange juice, apple juice, coffee",facial wash,"Lydia, Avery, Nora, Kinsley, Claire"
e23663,2017/03/13,"clementines, apricots, blueberries, blackberries","soda, pineapple juice","paper towel, body lotion, toothbrush, conditioner",
e23664,2017/03/18,blueberries,"milk, chocolate milk, orange juice","shampoo, toothbrush, body lotion",
e23666,2017/03/19,"watermelons, pineapples, strawberries, pears","soda, coffee, milk","shampoo, body lotion, mouthwash","Andrew, Emily, Kayden"
e23667,2017/03/25,apples,"soda, mineral water","toilet paper, body lotion, conditioner","Piper, Nora, Kinsley, Piper, Claire"
e23670,2017/03/31,"watermelons, clementines, nectarines, pineapples","sports drinks, soda, mango juice, coffee",mouth wash,
e23675,2017/04/02,"pineapples, watermelons","mango juice, mineral water",facial wash,"Jackson, Benjamin"
e23676,2017/04/07,apples,"apple juice, orange juice, sports drinks, soda","toothbrush, shaving cream, toothpaste",
e23679,2017/04/10,"mandarins, strawberries, bananas","orange juice, mineral water",facial wash,"Andrew, Carter, Kayden, Emily"
e23680,2017/04/12,"pears, apricots, blackberries, clementines","mango juice, tea, chocolate milk","facial wash, toothbrush, shaving cream",
e23682,2017/04/18,"raspberries, pineapples, cherres",coffee,"conditioner, paper towel, shampoo",
e23683,2017/04/21,"blueberries, mandarins, pears, peaches","chocolate milk, coffee","paper towel, mouth wash, facial wash, mouthwash",
e23688,2017/04/23,"blackberries, cherres, clementines, mandarins","pineapple juice, tea",toothbrush,"Benjamin, Avery"
e23692,2017/05/01,"blackberries, pineapples, apricots",milk,shampoo,"Kinsley, Claire, Nora, Nevaeh, Piper, Olivia, Rylee, Hazel, Layla"
e23695,2017/05/13,"strawberries, pineapples, cherres",pineapple juice,"paper towel, toothpaste, toilet paper, mouthwash","Jackson, Avery, Willow"
e23699,2017/05/14,"guava, bananas, apricots","sports drinks, pineapple juice",mouth wash,"Piper, Piper, Lydia, Avery, Eva, Rylee, Nora, Hazel"
e23700,2017/05/20,"bananas, blueberries","mango juice, chocolate milk, coffee","shaving cream, toothbrush, conditioner, paper towel","Kayden, Emily, Carter"
e23703,2017/05/24,nectarines,chocolate milk,"facial wash, mouthwash, paper towel, shaving cream","Kayden, Carter, Andrew"
e23707,2017/05/28,"blackberries, raspberries, bananas",mango juice,"toothpaste, toothbrush, mouth wash, conditioner",
e23708,2017/06/02,"nectarines, blackberries, pineapples, apples","coffee, mango juice","shampoo, body lotion",
e23711,2017/06/09,"oranges, nectarines","orange juice, coffee, mineral water, milk",conditioner,"Nora, Olivia, Hazel, Nevaeh, Piper, Piper, Layla, Rylee, Eva, Kinsley, Avery"
e23717,2017/06/13,mangos,"soda, orange juice, pineapple juice","toilet paper, body lotion",
e23718,2017/06/16,"mangos, mandarins","tea, milk","facial wash, toilet paper, toothpaste, mouthwash","Avery, Benjamin, Jackson"
e23726,2017/06/26,pears,"tea, guava juice, chocolate milk, mango juice","conditioner, toilet paper, mouth wash, mouthwash","Piper, Nevaeh"
e23727,2017/06/30,pineapples,"tea, apple juice, pineapple juice","shampoo, mouth wash","Andrew, Kayden, Emily"
e23731,2017/07/03,clementines,coffee,toothpaste,
e23732,2017/07/07,"nectarines, clementines, bananas, mandarins","orange juice, sports drinks, coffee, mango juice","mouthwash, toilet paper, mouth wash, paper towel",
e23735,2017/07/15,"guava, apricots, blueberries, peaches",pineapple juice,"mouth wash, facial wash",
e23738,2017/07/16,"cherres, guava","chocolate milk, mango juice","paper towel, toothpaste",
e23739,2017/07/19,"strawberries, cherres, nectarines, guava",apple juice,facial wash,
e23744,2017/07/28,"nectarines, oranges, pineapples","tea, coffee","toothpaste, paper towel, body lotion","Kinsley, Olivia, Hazel, Claire, Avery"
e23749,2017/08/01,"guava, watermelons, cherres, strawberries","pineapple juice, sports drinks, orange juice, coffee",conditioner,"Emily, Andrew, Carter, Kayden"
e23750,2017/08/02,"nectarines, pineapples, watermelons, strawberries","soda, milk, chocolate milk","facial wash, shaving cream","Carter, Andrew, Emily, Kayden"
e23753,2017/08/12,"watermelons, peaches, oranges",mango juice,conditioner,
e23756,2017/08/15,pears,orange juice,"facial wash, shampoo, shaving cream",
e23757,2017/08/18,"blueberries, pears, mangos, blackberries","soda, orange juice, mango juice","toilet paper, facial wash, mouthwash, toothpaste","Piper, Lydia, Rylee, Kinsley, Olivia, Nora, Layla, Hazel"
e23760,2017/08/21,"pineapples, strawberries","tea, guava juice, apple juice, coffee",toothbrush,
e23761,2017/08/25,"mandarins, strawberries","milk, mango juice, tea, coffee","toilet paper, paper towel",
e23763,2017/08/27,"cherres, bananas, watermelons, oranges","guava juice, apple juice, milk",body lotion,
e23765,2017/09/04,"watermelons, raspberries",pineapple juice,"paper towel, toilet paper","Emily, Andrew, Kayden, Carter"
e23766,2017/09/06,pineapples,"apple juice, mineral water, soda, sports drinks",facial wash,"Jackson, Willow, Benjamin"
e23770,2017/09/12,"pears, pineapples, apples, apricots","sports drinks, pineapple juice, mango juice, chocolate milk","body lotion, toothpaste","Avery, Nevaeh"
e23771,2017/09/16,"mandarins, blackberries, blueberries, raspberries","pineapple juice, guava juice, mineral water, sports drinks","toothpaste, shaving cream, paper towel, body lotion","Emily, Kayden, Andrew, Carter"
e23773,2017/09/18,cherres,orange juice,"mouth wash, toothpaste, toothbrush, body lotion",
e23774,2017/09/21,apples,"orange juice, mango juice","toilet paper, body lotion",
e23777,2017/09/26,"pineapples, raspberries, oranges","pineapple juice, mango juice",paper towel,
e23778,2017/09/30,blackberries,pineapple juice,mouthwash,
e23781,2017/10/01,"blueberries, peaches, blackberries, strawberries","pineapple juice, guava juice, mango juice","shampoo, conditioner, paper towel, toothbrush",
e23782,2017/10/05,oranges,"sports drinks, tea","shampoo, toilet paper","Jackson, Benjamin"
e23784,2017/10/08,"cherres, pears",mango juice,"conditioner, body lotion",
e23785,2017/10/11,"mangos, bananas, blueberries, pears",mango juice,shaving cream,"Emily, Andrew, Carter, Kayden"
e23789,2017/10/15,blueberries,apple juice,"toilet paper, toothpaste",
e23790,2017/10/20,clementines,chocolate milk,"mouthwash, shampoo","Andrew, Carter, Kayden"
e23793,2017/10/22,"mandarins, peaches","pineapple juice, tea",body lotion,
e23794,2017/10/26,"blackberries, oranges, mandarins","pineapple juice, tea, soda","mouthwash, paper towel, conditioner","Claire, Avery, Hazel, Kinsley, Lydia, Olivia, Piper, Eva, Nevaeh, Layla"
e23797,2017/10/29,"peaches, bananas, nectarines, pineapples","chocolate milk, pineapple juice","facial wash, conditioner",
e23798,2017/11/03,bananas,sports drinks,"toothbrush, mouth wash",
e23799,2017/11/06,"mandarins, strawberries, mangos","guava juice, mineral water, sports drinks","conditioner, shaving cream, mouthwash, toothpaste","Avery, Jackson"
e23801,2017/11/13,blueberries,"pineapple juice, guava juice","paper towel, toothpaste",Kayden
e23802,2017/11/15,"blueberries, guava, apricots","mango juice, guava juice, tea","conditioner, body lotion, facial wash, shaving cream",Andrew
e23806,2017/11/22,oranges,"orange juice, apple juice, coffee, milk","facial wash, shaving cream","Emily, Carter, Andrew"
e23811,2017/11/26,"mangos, clementines, bananas, peaches","guava juice, mango juice","mouth wash, mouthwash, shampoo",
e23812,2017/12/01,"pineapples, apricots, oranges, clementines","tea, mineral water, pineapple juice","paper towel, conditioner","Piper, Nora, Claire, Olivia, Layla, Lydia"
e23816,2017/12/03,"raspberries, pears, cherres, apricots","mineral water, orange juice","conditioner, toilet paper, facial wash","Emily, Carter, Kayden"
e23817,2017/12/06,"clementines, peaches, apricots","apple juice, orange juice, mineral water, tea","toothbrush, toothpaste",
e23822,2017/12/10,"apricots, apples, mandarins","chocolate milk, soda","paper towel, conditioner, shampoo",
e23823,2017/12/15,strawberries,"coffee, sports drinks, pineapple juice, mango juice","toothbrush, toothpaste",Andrew
e23826,2017/12/18,"mangos, nectarines, strawberries",apple juice,"toilet paper, mouthwash",
e23830,2017/12/26,"clementines, cherres, nectarines, guava","soda, apple juice",toothbrush,
e23831,2017/12/28,"apples, nectarines, apricots","guava juice, mineral water","mouthwash, toilet paper, shaving cream","Carter, Emily"
e27020,2018/01/02,clementines,"orange juice, soda, tea","paper towel, shaving cream, facial wash, toothpaste",Carter
e27021,2018/01/07,"cherres, strawberries, peaches","sports drinks, orange juice, chocolate milk",facial wash,
e27024,2018/01/10,"blueberries, pineapples",mineral water,"conditioner, mouth wash",
e27025,2018/01/14,"watermelons, apples, bananas","mineral water, guava juice, mango juice","paper towel, mouthwash, toothbrush",Kayden
e27029,2018/01/16,"apples, blueberries, bananas","apple juice, soda",body lotion,
e27030,2018/01/19,mandarins,"orange juice, sports drinks, coffee, chocolate milk","facial wash, toothpaste, toilet paper, shampoo",
e27033,2018/01/22,"pineapples, clementines, strawberries, oranges",tea,facial wash,
e27034,2018/01/27,strawberries,milk,"toothbrush, paper towel",
e27036,2018/01/29,"cherres, apricots","mango juice, milk, tea, apple juice","facial wash, shaving cream",
e27037,2018/02/04,"cherres, pears, peaches, watermelons","chocolate milk, pineapple juice, apple juice, milk","facial wash, shaving cream, paper towel, toothpaste","Jackson, Benjamin"
e27039,2018/02/05,"oranges, apricots",mineral water,"shaving cream, toothbrush, mouthwash, toilet paper","Willow, Jackson"
e27040,2018/02/10,"pineapples, clementines",chocolate milk,"mouth wash, shampoo, body lotion, conditioner",
e27042,2018/02/12,blueberries,"milk, sports drinks","mouthwash, shampoo, facial wash",Andrew
e27043,2018/02/18,"apricots, raspberries, mangos","orange juice, guava juice","mouthwash, toothbrush, toothpaste",
e27049,2018/02/21,"mandarins, blueberries",milk,"toilet paper, body lotion",
e27050,2018/02/22,strawberries,"tea, apple juice","paper towel, shampoo, conditioner","Andrew, Carter"
e27054,2018/02/28,"bananas, apricots","coffee, soda, mineral water, sports drinks","conditioner, toothbrush, mouthwash",
e27055,2018/03/01,"apricots, mandarins, raspberries","tea, guava juice","mouthwash, toilet paper","Avery, Willow, Benjamin, Jackson"
e27058,2018/03/07,"blackberries, pineapples, mangos, strawberries","coffee, mineral water, pineapple juice, milk","facial wash, conditioner",
e27059,2018/03/11,"watermelons, raspberries, mangos","tea, milk, sports drinks, coffee",mouthwash,"Emily, Andrew, Carter, Kayden"
e27060,2018/03/16,"mangos, pears","milk, soda, apple juice","toilet paper, mouthwash, toothpaste, toothbrush",Avery
e27062,2018/03/24,"blueberries, blackberries, strawberries","guava juice, soda, pineapple juice, orange juice","mouthwash, mouth wash, toothbrush","Andrew, Emily, Carter, Kayden"
e27064,2018/03/27,"pears, apples, cherres, apricots","chocolate milk, milk, tea",shampoo,"Emily, Andrew, Kayden, Carter"
e27068,2018/04/05,"pears, strawberries, pineapples, clementines",guava juice,"toothpaste, shaving cream, mouthwash",
e27072,2018/04/09,"blueberries, clementines, mandarins","tea, chocolate milk",paper towel,
e27073,2018/04/15,"raspberries, mangos, blackberries","soda, pineapple juice, mineral water",paper towel,
e27077,2018/04/16,"watermelons, guava, nectarines, blackberries","orange juice, tea",shaving cream,"Hazel, Layla, Lydia, Olivia, Nora, Piper, Claire, Avery, Piper, Nevaeh, Eva, Rylee"
e27078,2018/04/22,mandarins,"chocolate milk, soda, orange juice","conditioner, mouthwash, shampoo",Willow
e27080,2018/04/25,nectarines,"soda, coffee","paper towel, toothbrush, conditioner",
e27081,2018/04/28,"blackberries, nectarines, cherres","milk, chocolate milk, orange juice",conditioner,"Andrew, Emily, Carter, Kayden"
e27084,2018/05/04,"clementines, guava","milk, pineapple juice, orange juice, guava juice","toothbrush, mouth wash, facial wash, toothpaste",
e27085,2018/05/11,"peaches, pineapples","soda, chocolate milk, guava juice","mouthwash, toothbrush","Carter, Kayden, Andrew"
e27088,2018/05/17,"apples, strawberries, blackberries, pears","chocolate milk, mineral water","shampoo, conditioner, toothpaste","Kayden, Andrew"
e27091,2018/05/23,"peaches, pineapples, strawberries","coffee, soda, sports drinks","paper towel, mouthwash",Kayden
e27092,2018/05/25,"watermelons, cherres","mineral water, chocolate milk","toilet paper, toothbrush","Avery, Olivia, Piper, Kinsley, Nora"
e27094,2018/05/29,mangos,"pineapple juice, mango juice, mineral water",paper towel,"Kayden, Andrew"
e27098,2018/06/05,"guava, strawberries, mandarins",soda,toilet paper,"Kinsley, Avery, Olivia, Eva, Layla, Piper, Piper, Lydia, Rylee, Hazel"
e27099,2018/06/09,"guava, oranges, cherres","orange juice, mango juice",toilet paper,"Carter, Kayden, Andrew"
e27104,2018/06/18,"guava, blueberries","sports drinks, mineral water, guava juice",shaving cream,
e27105,2018/06/22,"peaches, mandarins, guava",apple juice,body lotion,"Kinsley, Nora"
e27108,2018/06/25,"blueberries, guava, mandarins","coffee, pineapple juice, milk","conditioner, shampoo",
e27109,2018/06/29,"oranges, apricots, blueberries","soda, apple juice, coffee, orange juice","paper towel, body lotion",
e27110,2018/07/04,"blackberries, guava, bananas","sports drinks, soda, orange juice, chocolate milk","toilet paper, facial wash, shaving cream, paper towel","Claire, Lydia, Nevaeh, Piper, Eva"
e27111,2018/07/06,"bananas, pears","orange juice, mineral water, coffee, pineapple juice","shaving cream, toothpaste, toothbrush","Rylee, Layla, Nevaeh, Kinsley, Avery, Piper, Nora, Lydia"
e27115,2018/07/10,"bananas, guava, blueberries",milk,"toothbrush, mouth wash, shaving cream",
