eid,date,fruits,drinks,toiletries,people_string
e13656,2019/01/26,"bananas, watermelons, peaches","tea, apple juice","shaving cream, mouth wash, mouthwash, toothpaste",
e13657,2019/02/02,"apples, bananas, pineapples","soda, guava juice, orange juice, milk","body lotion, mouth wash, facial wash",
e13660,2019/02/05,"blackberries, pears","apple juice, sports drinks","mouthwash, body lotion, toilet paper",
e13661,2019/02/08,"peaches, nectarines, raspberries","sports drinks, soda","shaving cream, toothbrush","Emily, Kayden, Carter"
e13663,2019/02/18,"oranges, clementines, apples","sports drinks, coffee, mineral water, soda","facial wash, shampoo","Olivia, Claire"
e13664,2019/02/24,"apricots, strawberries, pineapples","apple juice, sports drinks, coffee",body lotion,
e13666,2019/02/28,apples,"milk, soda, apple juice, pineapple juice","toothpaste, conditioner","Claire, Layla, Olivia, Lydia, Avery, Hazel"
e13667,2019/03/04,"bananas, raspberries, blueberries, nectarines","mango juice, mineral water, pineapple juice, orange juice",body lotion,
e13668,2019/03/07,"guava, peaches",chocolate milk,mouthwash,"Emily, Andrew"
e13669,2019/03/11,"watermelons, mandarins",mango juice,"conditioner, toothbrush, shampoo","Piper, Olivia, Nevaeh, Nora, Piper, Eva, Kinsley, Claire"
e13670,2019/03/16,clementines,"mineral water, pineapple juice, soda","toothbrush, body lotion, mouthwash",
e13672,2019/03/19,"pears, raspberries, mangos, bananas","pineapple juice, soda, tea, chocolate milk","conditioner, toothbrush",
e13673,2019/03/25,"nectarines, apples, blackberries","mango juice, orange juice, mineral water, milk","toilet paper, shaving cream, mouthwash",
e13677,2019/04/13,"oranges, peaches, nectarines, bananas","guava juice, soda, mineral water, orange juice","toilet paper, body lotion",
e13679,2019/04/20,"mangos, blackberries","pineapple juice, sports drinks","body lotion, toilet paper",
e13680,2019/04/29,"clementines, mandarins, blackberries, bananas","milk, tea, apple juice, coffee",mouth wash,"Olivia, Lydia, Avery, Claire, Piper, Nevaeh, Layla, Rylee, Eva, Kinsley, Nora, Hazel"
e13682,2019/05/03,"mandarins, clementines",pineapple juice,"body lotion, shaving cream, mouth wash, toothbrush",
e13685,2019/05/12,"clementines, mangos","apple juice, mango juice, mineral water","mouth wash, paper towel","Avery, Jackson, Willow"
e13688,2019/05/27,"cherres, nectarines","chocolate milk, mango juice, soda","conditioner, toothpaste, shaving cream, toilet paper",
e13691,2019/06/06,"raspberries, blueberries, cherres, apples","mineral water, chocolate milk",toothpaste,
e13692,2019/06/08,"apples, pears","mineral water, sports drinks",shampoo,
e13694,2019/06/12,"blueberries, nectarines",soda,"conditioner, mouthwash",
e13695,2019/06/15,"cherres, watermelons, nectarines, guava","tea, orange juice, mango juice","facial wash, body lotion, shaving cream, toothpaste",Andrew
e13698,2019/06/22,watermelons,"mineral water, guava juice","mouth wash, conditioner, shampoo, paper towel","Nevaeh, Olivia, Kinsley, Avery, Lydia"
e13700,2019/06/25,"apples, nectarines","tea, mineral water, chocolate milk, mango juice","toothbrush, shampoo",
e13701,2019/06/28,"pineapples, blueberries","coffee, sports drinks, tea, milk","shampoo, toothbrush, mouthwash, toilet paper",
e13707,2019/07/24,"bananas, blackberries","guava juice, tea, soda","mouthwash, toilet paper",
e13708,2019/07/26,"guava, cherres, mangos, nectarines",coffee,"shaving cream, mouth wash, toothpaste","Lydia, Eva, Nevaeh, Olivia, Claire, Piper"
e13711,2019/08/02,oranges,guava juice,"toothpaste, mouthwash, toilet paper","Rylee, Nora, Olivia, Piper, Claire, Layla, Kinsley, Eva, Nevaeh, Lydia, Avery, Hazel, Piper"
e13715,2019/08/06,"blueberries, apricots, raspberries","guava juice, tea, orange juice","paper towel, mouth wash, mouthwash, shaving cream","Andrew, Kayden, Carter"
e13716,2019/08/09,"cherres, pears, clementines, oranges","mango juice, mineral water, milk, chocolate milk","toilet paper, toothpaste, body lotion",
e13722,2019/08/19,"pineapples, mangos, peaches","mineral water, coffee, chocolate milk","mouthwash, shampoo, toothpaste",Carter
e13725,2019/08/20,"clementines, apricots",chocolate milk,"shaving cream, mouthwash, toothpaste",
e13728,2019/09/01,raspberries,"pineapple juice, milk, mango juice","mouth wash, body lotion",
e13730,2019/09/08,guava,"milk, sports drinks, chocolate milk, mineral water","mouthwash, mouth wash","Andrew, Emily"
e13732,2019/09/14,"peaches, cherres","apple juice, soda",toothpaste,"Jackson, Avery"
e13734,2019/09/24,"strawberries, blueberries, cherres",mineral water,"toilet paper, toothbrush, mouthwash","Carter, Emily, Kayden"
e13735,2019/09/30,apples,"soda, mango juice, milk, chocolate milk","mouth wash, body lotion",
e13737,2019/10/02,watermelons,"sports drinks, orange juice, mineral water, mango juice",shampoo,Andrew
e13738,2019/10/06,"apricots, strawberries, raspberries","chocolate milk, sports drinks","toothpaste, shampoo","Jackson, Avery, Willow"
e13740,2019/10/08,"peaches, bananas, oranges, apples",tea,"mouthwash, mouth wash, toothbrush, toothpaste","Kayden, Carter, Andrew"
e13741,2019/10/13,bananas,"mango juice, pineapple juice","conditioner, toothbrush, toilet paper, paper towel","Layla, Nevaeh, Olivia, Kinsley, Rylee, Claire, Piper, Avery, Piper, Eva"
e13745,2019/11/04,"blueberries, apricots, pears, peaches","mineral water, coffee",facial wash,
e13748,2019/11/22,"clementines, apples","chocolate milk, soda, pineapple juice, sports drinks",shaving cream,"Kayden, Andrew"
e13751,2019/11/28,"strawberries, blueberries, watermelons, raspberries","coffee, apple juice",facial wash,Carter
e13753,2019/12/09,bananas,soda,"toothbrush, paper towel",
e13756,2019/12/15,bananas,"coffee, milk","mouthwash, shaving cream, mouth wash",Andrew
e13760,2019/12/22,blackberries,"chocolate milk, tea, mineral water",mouth wash,Willow
e15132,2020/01/03,mandarins,"chocolate milk, guava juice","mouth wash, toothbrush",Eva
e15133,2020/01/04,"mangos, oranges, apricots, bananas","mineral water, orange juice",toothbrush,
e15135,2020/01/18,"cherres, pears","guava juice, tea",toilet paper,"Piper, Avery, Nevaeh, Olivia, Eva, Lydia, Claire, Nora"
e15138,2020/01/24,"pears, clementines, apricots","soda, pineapple juice, orange juice","toothpaste, body lotion, paper towel, toothbrush",
e15140,2020/01/30,"apricots, strawberries, pears, blueberries","apple juice, soda, coffee, sports drinks",conditioner,"Eva, Layla, Kinsley, Piper, Lydia, Piper"
e15141,2020/02/01,"blueberries, mangos","mineral water, chocolate milk, mango juice",body lotion,
e15143,2020/02/06,"blackberries, apricots, blueberries","soda, mineral water","toilet paper, body lotion",
e15144,2020/02/08,"pineapples, apples","soda, sports drinks, mineral water","paper towel, toothpaste",Emily
e15145,2020/02/13,"watermelons, guava, bananas, apricots","coffee, orange juice, soda","toothbrush, conditioner, toilet paper","Olivia, Lydia, Eva, Rylee, Avery, Piper, Kinsley, Nevaeh, Nora, Piper, Claire"
e15146,2020/02/15,"clementines, mangos","pineapple juice, milk, mineral water, chocolate milk","conditioner, toothpaste, toilet paper, paper towel","Andrew, Carter, Emily, Kayden"
e15151,2020/02/29,"blueberries, apricots, mandarins, watermelons",mango juice,"toilet paper, shaving cream, mouthwash","Piper, Nevaeh"
e15152,2020/03/05,"clementines, mangos, raspberries",pineapple juice,"toilet paper, shaving cream, conditioner",
e15153,2020/03/07,"watermelons, pineapples, apricots",apple juice,"body lotion, toothpaste",
e15155,2020/03/14,"peaches, blueberries",chocolate milk,"paper towel, facial wash, toilet paper","Kinsley, Eva, Lydia, Layla, Nevaeh, Claire"
e15157,2020/03/24,"apples, pineapples",mineral water,"body lotion, mouth wash, shaving cream, mouthwash","Avery, Willow, Benjamin, Jackson"
e15159,2020/03/27,"guava, raspberries, bananas","mango juice, apple juice","toothbrush, body lotion",
e15161,2020/04/01,"pears, nectarines",guava juice,"facial wash, toilet paper, shaving cream",
e15162,2020/04/06,cherres,"apple juice, soda, coffee",conditioner,"Emily, Carter, Kayden, Andrew"
e15163,2020/04/08,"mangos, pears, pineapples","tea, soda, orange juice","toothpaste, conditioner, mouth wash","Kinsley, Hazel, Piper, Lydia, Eva, Olivia, Rylee"
e15164,2020/04/13,"apples, blueberries, watermelons","pineapple juice, chocolate milk, coffee, tea","mouth wash, toothbrush, mouthwash","Piper, Piper, Layla, Nevaeh, Claire, Olivia, Nora, Avery, Hazel, Rylee, Eva, Kinsley, Lydia"
e15166,2020/04/17,"mandarins, blackberries, apples, strawberries","sports drinks, apple juice","toothpaste, paper towel, facial wash, shampoo",
e15168,2020/04/25,"apricots, guava",pineapple juice,paper towel,Willow
e15170,2020/04/29,"watermelons, apricots, peaches, pears",tea,"conditioner, paper towel, shaving cream, toothpaste","Andrew, Carter, Emily, Kayden"
e15171,2020/05/03,mangos,"pineapple juice, guava juice","mouth wash, toilet paper, body lotion",
e15174,2020/05/17,pears,"guava juice, coffee",facial wash,
e15175,2020/05/21,"oranges, strawberries",orange juice,"mouth wash, mouthwash, shaving cream, conditioner",
e15177,2020/06/01,"oranges, mangos, mandarins","mineral water, mango juice, orange juice","mouth wash, shaving cream",
e15178,2020/06/08,strawberries,soda,"shaving cream, toothpaste",Andrew
e15181,2020/06/12,"strawberries, bananas","chocolate milk, guava juice, pineapple juice","toilet paper, body lotion, paper towel",
e15182,2020/06/22,"pears, oranges, cherres","chocolate milk, milk","body lotion, shaving cream, toothbrush, mouth wash",
e15184,2020/06/28,pineapples,"pineapple juice, tea, mineral water","shampoo, toilet paper, body lotion, mouthwash","Andrew, Emily, Carter"
e15187,2020/07/03,"watermelons, pineapples","milk, mango juice, apple juice, soda",body lotion,Andrew
e15190,2020/07/12,"clementines, apples, blackberries, pineapples","orange juice, mineral water, milk, chocolate milk",mouthwash,"Nora, Kinsley, Lydia, Eva, Layla, Piper, Claire, Piper"
e15191,2020/07/20,nectarines,"sports drinks, guava juice, milk","paper towel, shaving cream, conditioner",Avery
e15192,2020/07/22,"peaches, raspberries, pineapples, mandarins","guava juice, pineapple juice","paper towel, toothbrush",
e15195,2020/07/30,"peaches, nectarines, clementines, strawberries","mineral water, tea",mouthwash,Jackson
e15196,2020/08/04,"pineapples, cherres, blueberries, strawberries","coffee, tea, mineral water, chocolate milk","shampoo, conditioner, paper towel","Benjamin, Jackson, Avery"
e15198,2020/08/05,"strawberries, cherres, guava","guava juice, orange juice, mango juice, milk",shampoo,
e15199,2020/08/11,"blackberries, guava, mandarins","milk, guava juice, chocolate milk, sports drinks",shampoo,
e15201,2020/08/15,"bananas, watermelons, blueberries, raspberries","chocolate milk, mineral water, soda","conditioner, paper towel, mouthwash, toothpaste","Willow, Avery, Jackson, Benjamin"
e15202,2020/08/20,"nectarines, cherres, pears","mineral water, soda","paper towel, facial wash, mouth wash, shampoo","Nevaeh, Rylee"
e15203,2020/08/24,"peaches, apricots, bananas",tea,"mouth wash, shaving cream",Emily
e15207,2020/08/31,"apples, blueberries","pineapple juice, sports drinks, guava juice","paper towel, toilet paper",
e15209,2020/09/05,peaches,"guava juice, orange juice, mango juice","shampoo, shaving cream, toothpaste",
e15214,2020/09/29,raspberries,milk,"paper towel, shampoo","Emily, Kayden"
e15216,2020/10/02,"clementines, pineapples, mandarins, apples",chocolate milk,toothbrush,"Carter, Emily"
e15217,2020/10/05,"guava, oranges, clementines","chocolate milk, guava juice, sports drinks","toilet paper, toothbrush, toothpaste",
e15219,2020/10/13,pears,guava juice,"toothpaste, conditioner, body lotion, shaving cream",Emily
e15221,2020/10/16,"blackberries, clementines, mangos","tea, pineapple juice, chocolate milk, guava juice","toothbrush, toothpaste, shaving cream, mouth wash",
e15222,2020/10/20,"mandarins, nectarines, peaches","sports drinks, chocolate milk, orange juice",conditioner,
e15225,2020/11/01,"nectarines, strawberries, oranges, apricots","soda, guava juice, sports drinks, pineapple juice",toilet paper,
e15228,2020/11/09,"nectarines, watermelons","guava juice, orange juice","paper towel, conditioner, mouth wash",
e15230,2020/11/11,"mandarins, nectarines, oranges","milk, soda","body lotion, facial wash, shampoo, shaving cream",Carter
e15231,2020/11/16,strawberries,"tea, milk",facial wash,Andrew
e15234,2020/11/26,blueberries,"sports drinks, pineapple juice, tea, orange juice","mouthwash, body lotion",
e15235,2020/11/29,"raspberries, blackberries, cherres, oranges","apple juice, sports drinks","mouthwash, shampoo, facial wash, conditioner",
e15237,2020/12/05,"clementines, peaches, apricots",chocolate milk,"paper towel, toothpaste","Jackson, Willow, Avery, Benjamin"
e15241,2020/12/10,"apricots, raspberries, strawberries","apple juice, soda","mouthwash, conditioner, toilet paper",
e16613,2021/01/03,raspberries,"mineral water, mango juice","conditioner, shampoo, shaving cream",
e16614,2021/01/07,"mandarins, nectarines, pineapples, raspberries","coffee, tea","shaving cream, toothpaste, mouthwash, mouth wash","Lydia, Layla, Claire"
e16615,2021/01/09,"strawberries, watermelons, blackberries","soda, sports drinks, guava juice",toilet paper,"Willow, Jackson"
e16619,2021/01/27,"peaches, apples, cherres, strawberries","pineapple juice, apple juice","body lotion, mouth wash","Piper, Rylee, Layla, Lydia, Eva, Claire, Avery, Piper, Olivia, Nevaeh, Nora, Kinsley, Hazel"
e16621,2021/01/30,"watermelons, oranges","chocolate milk, sports drinks, mineral water, tea","facial wash, mouth wash, mouthwash, toilet paper","Carter, Andrew, Kayden, Emily"
e16625,2021/02/06,blackberries,"tea, soda",toothbrush,
e16626,2021/02/10,"apples, cherres","sports drinks, coffee","facial wash, toilet paper","Kayden, Andrew, Carter, Emily"
e16631,2021/02/14,"clementines, mandarins, cherres, blueberries","coffee, tea, soda","shaving cream, toothpaste, conditioner",
e16632,2021/02/17,"cherres, mangos",milk,"shampoo, toothpaste, shaving cream",
e16633,2021/02/23,raspberries,milk,mouth wash,"Piper, Piper, Claire, Eva, Lydia, Kinsley, Rylee, Layla, Olivia, Nora, Nevaeh"
e16636,2021/02/27,"oranges, watermelons, blackberries","apple juice, guava juice, milk","toothbrush, facial wash, toilet paper, shampoo","Emily, Kayden, Andrew"
e16637,2021/03/01,nectarines,"sports drinks, milk","mouth wash, shampoo",
e16638,2021/03/08,"apples, peaches","mineral water, apple juice, tea, guava juice","toilet paper, paper towel",Andrew
e16639,2021/03/18,watermelons,"mango juice, guava juice",mouth wash,
e16641,2021/03/22,"strawberries, blueberries","pineapple juice, chocolate milk, guava juice, tea","mouth wash, mouthwash",
e16642,2021/03/26,"blackberries, nectarines","pineapple juice, soda","toothpaste, conditioner, facial wash, shaving cream",
e16643,2021/04/01,mandarins,"mango juice, mineral water, orange juice",body lotion,"Nevaeh, Claire, Layla, Piper, Piper, Lydia, Rylee"
e16646,2021/04/14,peaches,"apple juice, sports drinks","facial wash, mouth wash",
e16653,2021/04/23,"strawberries, mangos, peaches","soda, sports drinks, milk, pineapple juice","body lotion, shampoo, toothpaste, toothbrush",Jackson
e16655,2021/05/01,"cherres, mangos, oranges, blueberries",mineral water,"facial wash, mouth wash","Piper, Olivia, Avery, Claire, Kinsley, Layla"
e16657,2021/05/13,"bananas, pineapples, cherres","milk, sports drinks, tea, guava juice","toothpaste, paper towel",
e16659,2021/05/15,"cherres, oranges","mango juice, guava juice, tea","mouth wash, paper towel","Kinsley, Rylee, Piper, Piper, Eva, Nevaeh, Olivia, Lydia, Avery, Hazel"
e16660,2021/05/19,"blackberries, blueberries, apples, raspberries","orange juice, coffee, mango juice","body lotion, toothpaste, shaving cream","Avery, Jackson, Benjamin, Willow"
e16662,2021/05/31,mangos,"guava juice, apple juice","shampoo, mouth wash, conditioner","Avery, Willow, Jackson"
e16665,2021/06/09,"apples, bananas, cherres, mangos","coffee, chocolate milk, pineapple juice","toilet paper, toothbrush",Andrew
e16668,2021/06/11,apricots,"coffee, pineapple juice","shampoo, toothpaste","Willow, Avery"
e16669,2021/06/16,"bananas, raspberries",apple juice,body lotion,
e16671,2021/06/24,mandarins,orange juice,"paper towel, shaving cream, mouth wash, mouthwash",
e16674,2021/07/08,"apricots, peaches, oranges, cherres",pineapple juice,"paper towel, body lotion, toothpaste, shaving cream",
e16677,2021/07/15,"mangos, blueberries",mango juice,"shampoo, toothbrush",
e16679,2021/07/17,"pears, clementines, oranges","orange juice, pineapple juice",body lotion,"Kayden, Andrew, Emily, Carter"
e16682,2021/07/29,"nectarines, apples","coffee, soda, mango juice","mouth wash, toothpaste, shampoo",
e16685,2021/08/02,"clementines, raspberries","pineapple juice, soda, guava juice, coffee","shaving cream, toothbrush",Kayden
e16688,2021/08/19,"pears, blackberries, apples","guava juice, apple juice","body lotion, mouthwash, toothpaste, paper towel",
e16694,2021/09/06,mangos,"tea, chocolate milk, orange juice","paper towel, mouth wash, toothpaste, toothbrush","Claire, Eva, Nevaeh, Piper, Olivia, Piper, Layla, Lydia, Hazel, Kinsley"
e16696,2021/09/21,peaches,"tea, orange juice, mineral water, coffee","toothbrush, conditioner","Avery, Benjamin, Jackson, Willow"
e16698,2021/09/26,blueberries,milk,toothpaste,"Carter, Kayden, Emily, Andrew"
e16701,2021/10/07,"blackberries, peaches","soda, mineral water, mango juice, pineapple juice","paper towel, body lotion, mouthwash",Lydia
e16703,2021/10/12,"watermelons, blackberries","mineral water, coffee, pineapple juice",shaving cream,"Willow, Benjamin, Jackson"
e16706,2021/10/19,"clementines, watermelons, mandarins","orange juice, sports drinks, apple juice, guava juice",shampoo,Eva
e16708,2021/10/22,"bananas, blueberries, mangos, pineapples","guava juice, mango juice, orange juice, coffee","shaving cream, toothpaste, shampoo, mouthwash","Carter, Emily, Andrew, Kayden"
e16709,2021/10/28,"clementines, pears, watermelons, guava",mineral water,"toilet paper, toothpaste, paper towel, facial wash",Carter
e16712,2021/10/31,"guava, nectarines, peaches","soda, apple juice, orange juice, milk",facial wash,
e16714,2021/11/06,"nectarines, mangos, raspberries, pineapples","soda, tea, milk, apple juice","shaving cream, conditioner",Andrew
e16715,2021/11/10,cherres,"tea, coffee, orange juice","conditioner, paper towel, shaving cream",
e16716,2021/11/15,"apples, apricots, raspberries, blackberries","mango juice, coffee, apple juice","facial wash, paper towel",
e16718,2021/11/29,"mandarins, guava, raspberries, watermelons",soda,"shampoo, mouth wash, toothpaste",
e16723,2021/12/21,blueberries,"orange juice, coffee, guava juice","toothpaste, toothbrush, body lotion, mouthwash","Carter, Emily, Kayden"
e18131,2022/01/01,"pears, peaches, pineapples, mandarins",milk,facial wash,"Carter, Andrew, Kayden, Emily"
e18134,2022/01/16,strawberries,"guava juice, tea, apple juice","toilet paper, mouth wash, paper towel, shaving cream","Rylee, Claire, Layla, Piper, Piper, Nora, Eva, Nevaeh, Lydia, Hazel, Olivia"
e18135,2022/01/20,"bananas, cherres, mangos, blueberries","pineapple juice, orange juice, coffee, mineral water",shaving cream,"Jackson, Benjamin"
e18138,2022/01/24,pineapples,orange juice,"toothpaste, paper towel, shaving cream",
e18139,2022/01/27,"oranges, watermelons","sports drinks, pineapple juice","shaving cream, mouthwash",
e18144,2022/02/20,"pineapples, watermelons, cherres, pears","orange juice, apple juice","mouthwash, facial wash, conditioner, shampoo","Carter, Andrew, Emily, Kayden"
e18146,2022/03/01,"bananas, raspberries, mangos, guava","mineral water, coffee, soda, sports drinks","facial wash, mouthwash, toilet paper, body lotion","Piper, Hazel"
e18148,2022/03/11,apricots,"milk, sports drinks",shampoo,"Jackson, Avery, Benjamin, Willow"
e18149,2022/03/24,apricots,"soda, sports drinks, milk",conditioner,"Jackson, Benjamin, Willow, Avery"
e18151,2022/03/26,"bananas, peaches, mandarins, cherres",pineapple juice,mouthwash,Carter
e18152,2022/03/29,"mandarins, blackberries, apples","mineral water, guava juice",conditioner,
e18155,2022/04/03,pineapples,"guava juice, milk, orange juice, sports drinks","toilet paper, shampoo","Carter, Andrew"
e18156,2022/04/05,"apricots, mangos, peaches","pineapple juice, mineral water, orange juice, guava juice",mouthwash,
e18160,2022/04/16,guava,"tea, guava juice, orange juice, sports drinks","shaving cream, mouth wash",
e18161,2022/04/19,"guava, blueberries","mango juice, sports drinks, soda, orange juice","toothpaste, shampoo","Andrew, Kayden, Emily"
e18165,2022/05/02,strawberries,"coffee, milk, guava juice, mineral water","shampoo, facial wash, shaving cream, toothbrush","Avery, Willow, Jackson, Benjamin"
e18168,2022/05/08,"strawberries, peaches","apple juice, orange juice, guava juice, chocolate milk","facial wash, toilet paper, shaving cream",
e18169,2022/05/10,"nectarines, cherres, watermelons, mangos","coffee, guava juice, orange juice, mineral water",conditioner,
e18172,2022/05/19,"cherres, mandarins, clementines, pineapples","chocolate milk, tea","toothpaste, body lotion, mouthwash, shampoo","Kayden, Andrew, Emily, Carter"
e18177,2022/05/28,"blackberries, bananas, raspberries","pineapple juice, sports drinks, coffee",conditioner,"Andrew, Kayden, Carter"
e18178,2022/06/02,"peaches, bananas, apricots, pears",chocolate milk,"paper towel, facial wash, shaving cream, conditioner",
e18180,2022/06/09,pears,"orange juice, mango juice","shampoo, facial wash",
e18182,2022/06/17,"clementines, strawberries, apricots","tea, mango juice, mineral water, sports drinks",toothbrush,
e18185,2022/06/24,"oranges, bananas, raspberries, peaches","soda, orange juice","body lotion, shampoo, toothpaste, toilet paper",
e18189,2022/06/27,"apples, clementines, mandarins, oranges",pineapple juice,"toothbrush, conditioner, mouthwash, body lotion",
e18190,2022/06/29,oranges,"orange juice, guava juice, milk","mouth wash, toilet paper, toothbrush","Nevaeh, Olivia, Kinsley, Avery, Layla, Eva"
e18193,2022/07/10,guava,orange juice,"toilet paper, toothbrush",
e18195,2022/07/17,"apricots, raspberries, blackberries, watermelons",mineral water,"body lotion, mouth wash","Piper, Kinsley"
e18198,2022/07/27,"peaches, bananas","mineral water, guava juice, pineapple juice",mouthwash,"Benjamin, Willow, Jackson, Avery"
e18202,2022/08/11,"guava, bananas","sports drinks, chocolate milk, mineral water, soda",toothpaste,"Eva, Kinsley, Olivia, Avery, Piper, Rylee, Nora, Lydia, Claire, Nevaeh, Layla, Piper, Hazel"
e18208,2022/08/23,"bananas, pineapples","coffee, milk, sports drinks, guava juice","paper towel, shampoo","Piper, Avery, Olivia, Lydia, Eva, Hazel, Rylee, Nora, Kinsley, Claire, Layla, Nevaeh, Piper"
e18212,2022/08/27,"cherres, apricots","apple juice, mango juice, guava juice, milk","conditioner, toilet paper, shampoo","Rylee, Lydia, Claire, Eva, Kinsley"
e18213,2022/08/30,bananas,"chocolate milk, apple juice, milk, soda",facial wash,
e18215,2022/09/05,"apricots, apples, pineapples, nectarines","soda, pineapple juice",mouth wash,
e18216,2022/09/08,"watermelons, strawberries, clementines, apples","mineral water, sports drinks, chocolate milk","shaving cream, mouthwash, toothbrush",
e18220,2022/09/19,"cherres, guava, pears, clementines","soda, tea",toilet paper,
e18221,2022/09/23,"nectarines, watermelons",mango juice,"mouthwash, body lotion, conditioner, toothbrush",
e18223,2022/09/26,"mangos, pineapples, apricots, mandarins","mineral water, chocolate milk, tea, mango juice",shaving cream,"Avery, Jackson"
e18224,2022/10/06,"oranges, pineapples, pears, blueberries",pineapple juice,"toothbrush, mouth wash, body lotion, conditioner","Willow, Benjamin, Jackson, Avery"
e18227,2022/10/19,strawberries,"soda, pineapple juice, chocolate milk","shaving cream, toilet paper, mouthwash, shampoo","Emily, Andrew, Carter"
e18228,2022/10/22,"bananas, mandarins","apple juice, mineral water, sports drinks, soda","facial wash, paper towel, shaving cream",
e18229,2022/10/25,"guava, clementines, cherres, blackberries","coffee, chocolate milk, mango juice, mineral water",shampoo,
e18231,2022/10/29,"cherres, pears",chocolate milk,"mouthwash, conditioner, paper towel, facial wash","Kayden, Andrew, Carter, Emily"
e18232,2022/11/02,"bananas, oranges, peaches, strawberries","milk, pineapple juice, sports drinks","toilet paper, shaving cream, shampoo",
e18234,2022/11/06,"apricots, pears, blueberries, clementines","guava juice, apple juice, chocolate milk, mineral water",facial wash,
e18235,2022/11/11,"peaches, guava, strawberries","orange juice, pineapple juice, mango juice","shampoo, mouthwash",
e18239,2022/11/14,"bananas, strawberries, clementines, watermelons","mineral water, soda, orange juice","facial wash, shaving cream, toothpaste",
e18240,2022/11/15,"blueberries, clementines","apple juice, coffee, pineapple juice, tea",toothpaste,"Jackson, Benjamin"
e18241,2022/11/22,oranges,soda,conditioner,"Kinsley, Claire, Olivia, Lydia, Nevaeh"
e18246,2022/12/04,"apricots, mandarins, apples","guava juice, sports drinks","paper towel, toilet paper, toothpaste",
e18247,2022/12/06,"watermelons, raspberries, mangos","soda, guava juice, chocolate milk","paper towel, facial wash, shaving cream, toilet paper",
e18249,2022/12/15,"blackberries, mandarins, guava, nectarines","apple juice, mango juice, coffee","toilet paper, body lotion, toothbrush","Kayden, Emily"
e18252,2022/12/29,"bananas, nectarines, mangos","milk, orange juice, apple juice",paper towel,
